Day,Hour,Base_Load_W
37,21,2860.7
37,22,2933.1
37,23,2787.2
37,24,2493.3
38,1,2215.7
38,2,2031.0
38,3,2005.7
38,4,2009.9
38,5,2044.4
38,6,2146.5
38,7,2480.6
38,8,2766.8
38,9,2611.0
38,10,2510.6
38,11,2381.0
38,12,2271.5
38,13,2231.0
38,14,2100.8
38,15,2161.8
38,16,2325.9
38,17,2522.7
38,18,2770.2
38,19,2930.0
38,20,2871.0
38,21,2911.8
38,22,3006.2
38,23,2901.0
38,24,2595.2
39,1,2366.1
39,2,2186.9
39,3,2170.8
39,4,2188.1
39,5,2186.5
39,6,2283.1
39,7,2634.9
39,8,2966.0
39,9,2812.0
39,10,2598.5
39,11,2425.6
39,12,2354.7
39,13,2250.2
39,14,2202.0
39,15,2205.8
39,16,2234.2
39,17,2423.8
39,18,2747.3
39,19,2870.1
39,20,2942.6
39,21,2994.9
39,22,2985.7
39,23,2881.0
39,24,2634.5
40,1,2405.1
40,2,2314.5
40,3,2227.9
40,4,2243.2
40,5,2298.5
40,6,2355.3
40,7,2661.9
40,8,2980.9
40,9,2879.5
40,10,2754.3
40,11,2591.1
40,12,2433.9
40,13,2425.7
40,14,2390.9
40,15,2459.2
40,16,2596.0
40,17,2850.6
40,18,3059.4
40,19,3136.5
40,20,3116.7
40,21,2991.0
40,22,2839.1
40,23,2737.0
40,24,2530.3
41,1,2321.9
41,2,2170.3
41,3,2100.3
41,4,2041.6
41,5,2074.2
41,6,2096.9
41,7,2116.7
41,8,2230.0
41,9,2539.2
41,10,2670.6
41,11,2687.9
41,12,2639.0
41,13,2517.4
41,14,2482.2
41,15,2477.6
41,16,2524.8
41,17,2581.7
41,18,2686.2
41,19,2840.7
41,20,2766.6
41,21,2614.5
41,22,2418.8
41,23,2324.6
41,24,2161.4
42,1,2012.1
42,2,1950.6
42,3,1869.1
42,4,1821.3
42,5,1824.5
42,6,1838.8
42,7,1886.2
42,8,1953.4
42,9,2130.1
42,10,2452.5
42,11,2573.6
42,12,2610.3
42,13,2586.3
42,14,2563.1
42,15,2505.6
42,16,2528.2
42,17,2571.0
42,18,2770.6
42,19,2834.2
42,20,2810.1
42,21,2730.4
42,22,2686.4
42,23,2540.8
42,24,2265.5
43,1,2079.0
43,2,1950.0
43,3,1930.8
43,4,1945.5
43,5,1969.4
43,6,2023.2
43,7,2244.0
43,8,2517.3
43,9,2493.2
43,10,2370.7
43,11,2278.8
43,12,2199.1
43,13,2113.9
43,14,2103.1
43,15,2100.5
43,16,2184.1
43,17,2407.8
43,18,2619.0
43,19,2647.1
43,20,2637.5
43,21,2699.3
43,22,2593.5
43,23,2434.1
43,24,2254.9
44,1,2008.8
44,2,1884.9
44,3,1850.6
44,4,1849.4
44,5,1889.4
44,6,1979.4
44,7,2242.9
44,8,2463.7
44,9,2440.4
44,10,2301.6
44,11,2204.6
44,12,2195.5
44,13,2157.6
44,14,2160.2
44,15,2124.2
44,16,2187.0
44,17,2421.9
44,18,2669.4
44,19,2795.7
44,20,2734.6
44,21,2656.1
44,22,2671.9
44,23,2630.3
44,24,2351.1
45,1,2126.9
